expire_at,lap,meta_event,meta_session,meta_source,meta_time,original_vehicle_id,outing,timestamp,vehicle_id,vehicle_number,lap_time_seconds,accx_can,accy_can,aps,gear,nmot,pbrake_f,pbrake_r,speed,Steering_Angle,VBOX_Lat_Min,VBOX_Long_Minutes
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:46:58.204Z,GR86-002-000,0,2025-10-18 12:46:56.894000+00:00,GR86-002-000,0,156.687,0.014201099537037036,-0.10414149305555556,39.48162037037037,1.752025462962963,5312.13006993007,3.139574652777778,3.170403645833334,88.97235543018336,-3.551996527777778,39.79313659667969,-86.23870849609375
,2,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:49:25.503Z,GR86-002-000,0,2025-10-18 12:49:22.967000+00:00,GR86-002-000,0,146.073,0.0017088262056414935,-0.11107612981498333,46.90333939945405,1.9008189262966333,5675.09643916914,5.168776160145588,5.197020018198362,97.24346210995542,-2.492659993933879,39.79313278198242,-86.239013671875
,3,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:51:08.587Z,GR86-002-000,0,2025-10-18 12:51:08.402000+00:00,GR86-002-000,0,105.435,0.03709951775537045,-0.21782025427444104,77.03613765892152,2.7352038579570364,6437.768577494692,7.279294169224024,7.3357255589653665,131.52980972515857,-6.554888206926787,39.79312896728515,-86.23888397216797
,4,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:52:49.722Z,GR86-002-000,0,2025-10-18 12:52:48.764000+00:00,GR86-002-000,0,100.362,0.03591907775768535,-0.2429091320072333,78.25445298372514,2.9321880650994574,6499.771428571428,6.815660036166365,6.880906419529837,138.1957268722467,-4.837748643761302,39.79316711425781,-86.23905181884766
,5,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:54:33.877Z,GR86-002-000,0,2025-10-18 12:54:29.557000+00:00,GR86-002-000,0,100.793,0.02343888137122237,-0.22836535859269283,76.90513757329725,3.00360847992783,6396.318777292577,6.167873252142535,6.228849797023004,139.03526200873364,-3.694406856111863,39.7931022644043,-86.239013671875
,6,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:54:33.877Z,GR86-002-000,0,2025-10-18 12:54:29.559000+00:00,GR86-002-000,0,0.002,0.01760350246969017,-0.23207543780871126,75.84970812752582,2.9456668163448585,6519.339130434782,8.038403682083521,8.102031881454874,139.11151515151516,-5.582263134261338,39.7932243347168,-86.23894500732422
,5,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:54:33.877Z,GR86-002-000,0,2025-10-18 12:54:29.560000+00:00,GR86-002-000,0,0.001,0.02343888137122237,-0.22836535859269283,76.90513757329725,3.00360847992783,6396.318777292577,6.167873252142535,6.228849797023004,139.03526200873364,-3.694406856111863,39.7931022644043,-86.239013671875
,6,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:56:10.555Z,GR86-002-000,0,2025-10-18 12:56:09.493000+00:00,GR86-002-000,0,99.933,0.01760350246969017,-0.23207543780871126,75.84970812752582,2.9456668163448585,6519.339130434782,8.038403682083521,8.102031881454874,139.11151515151516,-5.582263134261338,39.7932243347168,-86.23894500732422
,7,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:57:54.424Z,GR86-002-000,0,2025-10-18 12:57:51.465000+00:00,GR86-002-000,0,101.972,0.012493055555555556,-0.21608376736111112,75.93219618055555,2.9422743055555554,6418.940677966101,6.91248046875,6.977291666666667,136.95303609341826,-3.4600694444444446,39.79313659667969,-86.2388687133789
,8,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:59:40.894Z,GR86-002-000,0,2025-10-18 12:59:32.462000+00:00,GR86-002-000,0,100.997,0.017120781527531083,-0.22458836589698047,74.9315053285968,2.930728241563055,6478.175965665236,7.211523090586145,7.277202486678507,138.29672376873663,-5.181349911190053,39.793113708496094,-86.23893737792969
